cveID,vendorProject,product,vulnerabilityName,dateAdded,shortDescription,requiredAction,dueDate,notes
CVE-2014-3153,Linux,Kernel,Linux Kernel Privilege Escalation Vulnerability,2022-05-25,"The futex_requeue function in kernel/futex.c in Linux kernel does not ensure that calls have two different futex addresses, which allows local users to gain privileges.",Apply updates per vendor instructions.,2022-06-15,
CVE-2013-7331,Microsoft,Internet Explorer,Microsoft Internet Explorer Information Disclosure Vulnerability,2022-05-25,An information disclosure vulnerability exists in Internet Explorer which allows resources loaded into memory to be queried. This vulnerability could allow an attacker to detect anti-malware applications.,Apply updates per vendor instructions.,2022-06-15,
CVE-2013-3993,IBM,InfoSphere BigInsights,IBM InfoSphere BigInsights Invalid Input Vulnerability,2022-05-25,"Certain APIs within BigInsights can take invalid input that might allow attackers unauthorized access to read, write, modify, or delete data.",The impacted product is end-of-life and should be disconnected if still in use.,2022-06-15,
CVE-2013-3896,Microsoft,Silverlight,Microsoft Silverlight Information Disclosure Vulnerability,2022-05-25,"Microsoft Silverlight does not properly validate pointers during access to Silverlight elements, which allows remote attackers to obtain sensitive information via a crafted Silverlight application.",The impacted product is end-of-life and should be disconnected if still in use.,2022-06-15,
CVE-2013-2423,Oracle,Java Runtime Environment (JRE),Oracle JRE Unspecified Vulnerability,2022-05-25,Unspecified vulnerability in hotspot for Java Runtime Environment (JRE) allows remote attackers to affect integrity.,Apply updates per vendor instructions.,2022-06-15,
CVE-2013-0431,Oracle,Java Runtime Environment (JRE),Oracle JRE Sandbox Bypass Vulnerability,2022-05-25,Unspecified vulnerability in the Java Runtime Environment (JRE) component in Oracle allows remote attackers to bypass the Java security sandbox.,Apply updates per vendor instructions.,2022-06-15,
CVE-2013-0422,Oracle,Java Runtime Environment (JRE),Oracle JRE Remote Code Execution Vulnerability,2022-05-25,A vulnerability in the way Java restricts the permissions of Java applets could allow an attacker to execute commands on a vulnerable system.,Apply updates per vendor instructions.,2022-06-15,
CVE-2013-0074,Microsoft,Silverlight,Microsoft Silverlight Double Dereference Vulnerability,2022-05-25,"Microsoft Silverlight does not properly validate pointers during HTML object rendering, which allows remote attackers to execute code via a crafted Silverlight application.",The impacted product is end-of-life and should be disconnected if still in use.,2022-06-15,
CVE-2012-1710,Oracle,Fusion Middleware,Oracle Fusion Middleware Unspecified Vulnerability,2022-05-25,"Unspecified vulnerability in the Oracle WebCenter Forms Recognition component in Oracle Fusion Middleware allows remote attackers to affect confidentiality, integrity, and availability via unknown vectors related to Designer.",Apply updates per vendor instructions.,2022-06-15,
CVE-2010-1428,Red Hat,JBoss,Red Hat JBoss Information Disclosure Vulnerability,2022-05-25,"Unauthenticated access to the JBoss Application Server Web Console (/web-console) is blocked by default. However, it was found that this block was incomplete, and only blocked GET and POST HTTP verbs. A remote attacker could use this flaw to gain access to sensitive information.",Apply updates per vendor instructions.,2022-06-15,
CVE-2010-0840,Oracle,Java Runtime Environment (JRE),Oracle JRE Unspecified Vulnerability,2022-05-25,"Unspecified vulnerability in the Java Runtime Environment (JRE) in Java SE component allows remote attackers to affect confidentiality, integrity, and availability via unknown vectors.",Apply updates per vendor instructions.,2022-06-15,
CVE-2010-0738,Red Hat,JBoss,Red Hat JBoss Authentication Bypass Vulnerability,2022-05-25,"The JMX-Console web application in JBossAs in Red Hat JBoss Enterprise Application Platform performs access control only for the GET and POST methods, which allows remote attackers to send requests to this application's GET handler by using a different method.",Apply updates per vendor instructions.,2022-06-15,
